301 21
-4.685139999999999e-01 3.534008124350940e-01 0.000000000000000e+00
-4.685139999999998e-01 3.611934625699940e-01 0.000000000000000e+00
-4.685139999999999e-01 3.694941998834749e-01 0.000000000000000e+00
-4.685139999999999e-01 3.783757278024946e-01 0.000000000000000e+00
-4.685139999999999e-01 3.879163874295844e-01 0.000000000000000e+00
-4.685139999999998e-01 3.982009970973632e-01 0.000000000000000e+00
-4.685139999999998e-01 4.093217871249352e-01 0.000000000000000e+00
-4.685139999999998e-01 4.213794470489194e-01 0.000000000000000e+00
-4.685139999999998e-01 4.344843056383527e-01 0.000000000000000e+00
-4.685139999999998e-01 4.487576676873565e-01 0.000000000000000e+00
-4.685139999999996e-01 4.643333360494313e-01 0.000000000000000e+00
-4.685139999999997e-01 4.813593528005221e-01 0.000000000000000e+00
-4.685139999999997e-01 5.000000000000000e-01 0.000000000000000e+00
-4.640160000000000e-01 3.019400000000000e-01 0.000000000000000e+00
-4.640160000000000e-01 3.078173333333334e-01 0.000000000000000e+00
-4.640160000000000e-01 3.137447132393807e-01 0.000000000000000e+00
-4.640160000000000e-01 3.197726528115762e-01 0.000000000000000e+00
-4.640160000000000e-01 3.259526041593233e-01 0.000000000000000e+00
-4.640160000000000e-01 3.323374429886219e-01 0.000000000000000e+00
-4.640160000000000e-01 3.389819716562987e-01 0.000000000000000e+00
-4.640159999999999e-01 3.459434475140727e-01 0.000000000000000e+00
-4.640160000000000e-01 3.532821439522535e-01 0.000000000000000e+00
-4.640160000000000e-01 3.610619523327396e-01 0.000000000000000e+00
-4.640160000000001e-01 3.693510339946321e-01 0.000000000000000e+00
-4.640160000000000e-01 3.782225327584528e-01 0.000000000000000e+00
-4.640160000000000e-01 3.877553598911446e-01 0.000000000000000e+00
-4.640160000000000e-01 3.980350653791351e-01 0.000000000000000e+00
-4.640160000000000e-01 4.091548116594552e-01 0.000000000000000e+00
-4.640160000000000e-01 4.212164687637980e-01 0.000000000000000e+00
-4.640160000000000e-01 4.343318532414691e-01 0.000000000000000e+00
-4.640160000000000e-01 4.486241373719676e-01 0.000000000000000e+00
-4.640159999999999e-01 4.642294602126977e-01 0.000000000000000e+00
-4.640160000000000e-01 4.812987781433547e-01 0.000000000000000e+00
-4.640160000000000e-01 5.000000000000000e-01 0.000000000000000e+00
-4.595180000000000e-01 3.019400000000000e-01 0.000000000000000e+00
-4.595179999999999e-01 3.078019999999999e-01 0.000000000000000e+00
-4.595180000000000e-01 3.137140731569104e-01 0.000000000000000e+00
-4.595180000000000e-01 3.197267657255877e-01 0.000000000000000e+00
-4.595180000000000e-01 3.258915764484067e-01 0.000000000000000e+00
-4.595180000000000e-01 3.322614486778846e-01 0.000000000000000e+00
-4.595180000000000e-01 3.388912819786509e-01 0.000000000000000e+00
-4.595179999999999e-01 3.458384704257446e-01 0.000000000000000e+00
-4.595179999999999e-01 3.531634754694127e-01 0.000000000000000e+00
-4.595179999999999e-01 3.609304420954852e-01 0.000000000000000e+00
-4.595179999999999e-01 3.692078681057892e-01 0.000000000000000e+00
-4.595179999999999e-01 3.780693377144109e-01 0.000000000000000e+00
