P0 1000.0
u0 1000.0
v0 0.0
T0 300.0
gam 1.4
accur 0
iaxi 1
ivisc 0
niter 100000
cfl 0.1
tol 0.000001
printiter 1
saveiter 1000
damp 0.9
duscale 0.5
mxangle (not imp)0.0
==================== Loading Mesh ====================
Reading Mesh File..... 
::  0:: Scanning Headers
::  0:: (nx,ny)=(121, 81), Now Scanning Nodes....
::  0:: Scanning BCs
Reading Block Connectivity File..... 
::  0:: opened conn file 
::  0::Calculating Grid Metrics..... 
==================== Initializing ====================
===== Generating Mesh and Initial State Tecplot Files ====
==================== Starting Solver ====================
Iter:     70	dt:4.6378e-08 		 RelativeTotalResisual:  7.68544e-01 
Iter:     71	dt:4.6378e-08 		 RelativeTotalResisual:  7.66138e-01 
Iter:     72	dt:4.6378e-08 		 RelativeTotalResisual:  7.63752e-01 
Iter:     73	dt:4.6378e-08 		 RelativeTotalResisual:  7.61387e-01 
Iter:     74	dt:4.6378e-08 		 RelativeTotalResisual:  7.59044e-01 
Iter:     75	dt:4.6378e-08 		 RelativeTotalResisual:  7.56721e-01 
Iter:     76	dt:4.6378e-08 		 RelativeTotalResisual:  7.54418e-01 
Iter:     77	dt:4.6378e-08 		 RelativeTotalResisual:  7.52136e-01 
Iter:     78	dt:4.6378e-08 		 RelativeTotalResisual:  7.49874e-01 
Iter:     79	dt:4.6378e-08 		 RelativeTotalResisual:  7.47631e-01 
Iter:     80	dt:4.6378e-08 		 RelativeTotalResisual:  7.45409e-01 
Iter:     81	dt:4.6378e-08 		 RelativeTotalResisual:  7.43205e-01 
Iter:     82	dt:4.6378e-08 		 RelativeTotalResisual:  7.41022e-01 
Iter:     83	dt:4.6378e-08 		 RelativeTotalResisual:  7.38857e-01 
Iter:     84	dt:4.6378e-08 		 RelativeTotalResisual:  7.36711e-01 
Iter:     85	dt:4.6378e-08 		 RelativeTotalResisual:  7.34584e-01 
Iter:     86	dt:4.6378e-08 		 RelativeTotalResisual:  7.32476e-01 
Iter:     87	dt:4.6378e-08 		 RelativeTotalResisual:  7.30385e-01 
Iter:     88	dt:4.6378e-08 		 RelativeTotalResisual:  7.28314e-01 
Iter:     89	dt:4.6378e-08 		 RelativeTotalResisual:  7.26260e-01 
Iter:     90	dt:4.6378e-08 		 RelativeTotalResisual:  7.24224e-01 
Iter:     91	dt:4.6378e-08 		 RelativeTotalResisual:  7.22205e-01 
Iter:     92	dt:4.6378e-08 		 RelativeTotalResisual:  7.20204e-01 
Iter:     93	dt:4.6378e-08 		 RelativeTotalResisual:  7.18221e-01 
Iter:     94	dt:4.6378e-08 		 RelativeTotalResisual:  7.16255e-01 
Iter:     95	dt:4.6378e-08 		 RelativeTotalResisual:  7.14305e-01 
