==================== Loading Mesh ====================
Reading Mesh File..... 
::  0:: Scanning Headers
::  0:: (nx,ny)=(140, 41), Now Scanning Nodes....
::  0:: Scanning BCs
Reading Block Connectivity File..... 
::  0:: opened conn file 
::  0::Calculating Grid Metrics..... 
==================== Initializing ====================
===== Generating Mesh and Initial State Tecplot Files ====
==================== Starting Solver ====================
Iter:     51	dt:2.5497e-07 		 RelativeTotalResisual:  8.61970e-01 	 damp:0.950000, duscale:0.700000
Iter:     52	dt:2.5033e-07 		 RelativeTotalResisual:  9.44162e-01 	 damp:0.950000, duscale:0.700000
Iter:     53	dt:2.4708e-07 		 RelativeTotalResisual:  1.07508e+00 	 damp:0.950000, duscale:0.700000
Iter:     54	dt:2.4564e-07 		 RelativeTotalResisual:  1.18065e+00 	 damp:0.950000, duscale:0.700000
Iter:     55	dt:2.4551e-07 		 RelativeTotalResisual:  1.24313e+00 	 damp:0.950000, duscale:0.700000
Iter:     56	dt:2.4569e-07 		 RelativeTotalResisual:  1.28268e+00 	 damp:0.950000, duscale:0.700000
Iter:     57	dt:2.4630e-07 		 RelativeTotalResisual:  1.31648e+00 	 damp:0.950000, duscale:0.700000
Iter:     58	dt:2.4735e-07 		 RelativeTotalResisual:  1.35205e+00 	 damp:0.950000, duscale:0.700000
Iter:     59	dt:2.4877e-07 		 RelativeTotalResisual:  1.37277e+00 	 damp:0.950000, duscale:0.700000
Iter:     60	dt:2.5055e-07 		 RelativeTotalResisual:  1.36796e+00 	 damp:0.950000, duscale:0.700000
Iter:     61	dt:2.5164e-07 		 RelativeTotalResisual:  1.33373e+00 	 damp:0.950000, duscale:0.700000
Iter:     62	dt:2.5181e-07 		 RelativeTotalResisual:  1.27805e+00 	 damp:0.950000, duscale:0.700000
Iter:     63	dt:2.5136e-07 		 RelativeTotalResisual:  1.21118e+00 	 damp:0.950000, duscale:0.700000
Iter:     64	dt:2.5063e-07 		 RelativeTotalResisual:  1.14339e+00 	 damp:0.950000, duscale:0.700000
Iter:     65	dt:2.5041e-07 		 RelativeTotalResisual:  1.07187e+00 	 damp:0.950000, duscale:0.700000
Iter:     66	dt:2.5257e-07 		 RelativeTotalResisual:  9.96319e-01 	 damp:0.950000, duscale:0.700000
Iter:     67	dt:2.5578e-07 		 RelativeTotalResisual:  9.09066e-01 	 damp:0.950000, duscale:0.700000
Iter:     68	dt:2.6035e-07 		 RelativeTotalResisual:  8.12354e-01 	 damp:0.950000, duscale:0.700000
Iter:     69	dt:2.6547e-07 		 RelativeTotalResisual:  7.34174e-01 	 damp:0.950000, duscale:0.700000
Iter:     70	dt:2.6590e-07 		 RelativeTotalResisual:  7.03399e-01 	 damp:0.950000, duscale:0.700000
Iter:     71	dt:2.5849e-07 		 RelativeTotalResisual:  7.18761e-01 	 damp:0.950000, duscale:0.700000
Iter:     72	dt:2.4896e-07 		 RelativeTotalResisual:  7.40973e-01 	 damp:0.950000, duscale:0.700000
Iter:     73	dt:2.4123e-07 		 RelativeTotalResisual:  7.85258e-01 	 damp:0.950000, duscale:0.700000
Iter:     74	dt:2.3578e-07 		 RelativeTotalResisual:  8.64739e-01 	 damp:0.950000, duscale:0.700000
Iter:     75	dt:2.3177e-07 		 RelativeTotalResisual:  9.60533e-01 	 damp:0.950000, duscale:0.700000
Iter:     76	dt:2.2953e-07 		 RelativeTotalResisual:  1.07011e+00 	 damp:0.950000, duscale:0.700000
Iter:     77	dt:2.2898e-07 		 RelativeTotalResisual:  1.14648e+00 	 damp:0.950000, duscale:0.700000
Iter:     78	dt:2.2991e-07 		 RelativeTotalResisual:  1.18714e+00 	 damp:0.950000, duscale:0.700000
