0,	1.000000e+00
1,	9.958646e-01
2,	9.917336e-01
3,	9.876104e-01
4,	9.834978e-01
5,	9.793984e-01
6,	9.753144e-01
7,	9.712477e-01
8,	9.672001e-01
9,	9.631730e-01
10,	9.591676e-01
11,	9.551852e-01
12,	9.512267e-01
13,	9.472930e-01
14,	9.433849e-01
15,	9.395029e-01
16,	9.356476e-01
17,	9.318196e-01
18,	9.280192e-01
19,	9.242468e-01
20,	9.205026e-01
21,	9.167870e-01
22,	9.131000e-01
23,	9.094419e-01
24,	9.058128e-01
25,	9.022126e-01
26,	8.986416e-01
27,	8.950997e-01
28,	8.915869e-01
29,	8.881032e-01
30,	8.846485e-01
31,	8.812228e-01
32,	8.778260e-01
33,	8.744580e-01
34,	8.711187e-01
35,	8.678080e-01
36,	8.645258e-01
37,	8.612718e-01
38,	8.580460e-01
39,	8.548482e-01
40,	8.516783e-01
41,	8.485360e-01
42,	8.454211e-01
43,	8.423336e-01
44,	8.392732e-01
45,	8.362397e-01
46,	8.332329e-01
47,	8.302527e-01
48,	8.272988e-01
49,	8.243710e-01
50,	8.214690e-01
51,	8.185928e-01
52,	8.157421e-01
53,	8.129167e-01
54,	8.101163e-01
55,	8.073407e-01
56,	8.045898e-01
57,	8.018634e-01
58,	7.991611e-01
59,	7.964828e-01
60,	7.938283e-01
61,	7.911974e-01
62,	7.885898e-01
63,	7.860054e-01
64,	7.834439e-01
65,	7.809051e-01
66,	7.783888e-01
67,	7.758948e-01
68,	7.734229e-01
69,	7.709728e-01
70,	7.685445e-01
71,	7.661376e-01
72,	7.637520e-01
73,	7.613874e-01
74,	7.590438e-01
75,	7.567207e-01
76,	7.544182e-01
77,	7.521359e-01
78,	7.498736e-01
79,	7.476313e-01
80,	7.454086e-01
81,	7.432055e-01
82,	7.410216e-01
83,	7.388569e-01
84,	7.367111e-01
85,	7.345840e-01
86,	7.324755e-01
87,	7.303854e-01
88,	7.283135e-01
89,	7.262597e-01
90,	7.242236e-01
91,	7.222053e-01
92,	7.202045e-01
93,	7.182210e-01
94,	7.162546e-01
95,	7.143053e-01
96,	7.123727e-01
97,	7.104569e-01
98,	7.085575e-01
99,	7.066744e-01
100,	7.048076e-01
101,	7.029567e-01
102,	7.011217e-01
103,	6.993024e-01
104,	6.974987e-01
105,	6.957103e-01
106,	6.939372e-01
107,	6.921792e-01
108,	6.904361e-01
109,	6.887078e-01
110,	6.869942e-01
111,	6.852950e-01
112,	6.836103e-01
113,	6.819397e-01
114,	6.802832e-01
115,	6.786407e-01
116,	6.770119e-01
117,	6.753969e-01
118,	6.737953e-01
119,	6.722072e-01
120,	6.706323e-01
121,	6.690706e-01
122,	6.675219e-01
123,	6.659860e-01
124,	6.644629e-01
125,	6.629524e-01
126,	6.614544e-01
127,	6.599688e-01
128,	6.584955e-01
129,	6.570343e-01
130,	6.555851e-01
131,	6.541478e-01
132,	6.527223e-01
133,	6.513084e-01
134,	6.499061e-01
135,	6.485152e-01
136,	6.471357e-01
137,	6.457673e-01
138,	6.444101e-01
139,	6.430638e-01
140,	6.417284e-01
141,	6.404038e-01
142,	6.390899e-01
143,	6.377866e-01
144,	6.364936e-01
145,	6.352111e-01
146,	6.339388e-01
147,	6.326767e-01
148,	6.314246e-01
149,	6.301825e-01
150,	6.289502e-01
151,	6.277277e-01
152,	6.265149e-01
153,	6.253116e-01
154,	6.241178e-01
155,	6.229334e-01
156,	6.217583e-01
157,	6.205924e-01
158,	6.194356e-01
159,	6.182878e-01
160,	6.171489e-01
161,	6.160189e-01
162,	6.148977e-01
163,	6.137851e-01
164,	6.126811e-01
165,	6.115856e-01
166,	6.104986e-01
167,	6.094199e-01
168,	6.083494e-01
169,	6.072871e-01
170,	6.062329e-01
171,	6.051868e-01
172,	6.041485e-01
173,	6.031182e-01
174,	6.020956e-01
175,	6.010807e-01
176,	6.000735e-01
177,	5.990738e-01
178,	5.980816e-01
179,	5.970968e-01
180,	5.961194e-01
181,	5.951492e-01
182,	5.941863e-01
183,	5.932305e-01
184,	5.922817e-01
185,	5.913399e-01
